"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Aruba","ABW","International tourism, receipts (current US$)","ST.INT.RCPT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","554000000","666000000","726000000","786000000","782000000","850000000","825000000","835000000","858100000","1056000000","1097000000","1064100000","1213400000","1352000000","1223000000","1254000000","1358000000","1412000000","1506000000","1625000000","1659000000","1638000000","",
"Afghanistan","AFG","International tourism, receipts (current US$)","ST.INT.RCPT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","47000000","90000000","169000000","152000000","177000000","191000000","92000000","88000000","51000000","",
"Angola","AGO","International tourism, receipts (current US$)","ST.INT.RCPT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27000000","38000000","24000000","39000000","31000000","34000000","35000000","51000000","63000000","82000000","103000000","91000000","236000000","293000000","554000000","726000000","653000000","711000000","1241000000","1597000000","1171000000","628000000","",
"Albania","ALB","International tourism, receipts (current US$)","ST.INT.RCPT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","70000000","94000000","34000000","60000000","218000000","398000000","451000000","492000000","537000000","756000000","880000000","1057000000","1479000000","1848000000","2014000000","1780000000","1833000000","1623000000","1670000000","1849000000","1614000000","1821000000","",
"Andorra","AND","International tourism, receipts (current US$)","ST.INT.RCPT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","International tourism, receipts (current US$)","ST.INT.RCPT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13939505827.689","15488951589.2062","16040465019.8562","16072624315.0751","17694512449.0442","18436955809.6592","18973742971.4558","24056633856.7741","29371428768.6102","37102492579.1902","40367797947.7123","45865305600.3091","56422040593.2707","63558742431.4877","64033250220.2726","74155828580.9307","64751803393.3741","72107839140.2261","71178812321.8721","80100218928.5175","83113155457.3121","81362698793.1104","",
"United Arab Emirates","ARE","International tourism, receipts (current US$)","ST.INT.RCPT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","632000000","743000000","814000000","859000000","893000000","1063000000","1200000000","1332000000","1438000000","1593000000","3218000000","4972000000","6072000000","7162000000","7352000000","8577000000","9204000000","10924000000","12389000000","15221000000","17481000000","19496000000","",
"Argentina","ARG","International tourism, receipts (current US$)","ST.INT.RCPT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2550000000","2975000000","3153000000","3353000000","3175000000","3195000000","2756000000","1716000000","2306000000","2660000000","3209000000","3926000000","5030000000","5273000000","4455000000","5605000000","6058000000","5665000000","5199000000","5645000000","5441000000","5186000000","",
"Armenia","ARM","International tourism, receipts (current US$)","ST.INT.RCPT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14000000","18000000","33000000","41000000","47000000","52000000","81000000","81000000","90000000","188000000","243000000","406000000","522000000","564000000","570000000","694000000","762000000","853000000","905000000","994000000","956000000","988000000","",
"American Samoa","ASM","International tourism, receipts (current US$)","ST.INT.RCPT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","International tourism, receipts (current US$)","ST.INT.RCPT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","247000000","258000000","278000000","282000000","290000000","291000000","272000000","274000000","300000000","337000000","309000000","327000000","338000000","334000000","305000000","298000000","312000000","319000000","299000000","708000000","714000000","693000000","",
"Australia","AUS","International tourism, receipts (current US$)","ST.INT.RCPT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11915000000","13779000000","13698000000","11664000000","12866000000","13016000000","12804000000","13624000000","16647000000","20453000000","19719000000","20408000000","25024000000","27189000000","26909000000","31064000000","34315000000","34137000000","32889000000","33619000000","30872000000","34475000000","",
"Austria","AUT","International tourism, receipts (current US$)","ST.INT.RCPT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14529000000","13980000000","12275000000","12694000000","12358000000","11382000000","11511000000","12334000000","15128000000","17251000000","18471000000","16512000000","18559000000","21630000000","19154000000","18758000000","19775000000","18937000000","20220000000","20907000000","18288000000","19241000000","",
"Azerbaijan","AZE","International tourism, receipts (current US$)","ST.INT.RCPT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","87000000","57000000","176000000","143000000","93000000","68000000","57000000","63000000","70000000","79000000","100000000","201000000","317000000","382000000","545000000","792000000","1500000000","2634000000","2618000000","2713000000","2535000000","2855000000","",
"Burundi","BDI","International tourism, receipts (current US$)","ST.INT.RCPT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2424994","2141381","1440072","1300000","1200000","1400000","900000","1600000","1200000","1800000","1900000","1600000","2300000","1600000","1700000","2100000","3700000","1500000","2300000","4100000","2200000","1900000","",
